Date,Time,RMSSD,Coverage,HF,LF
2024-03-03,05:15:00,63.496,0.844,606.39,4274.559
2024-03-03,05:20:00,57.818,0.92,416.478,3125.937
2024-03-03,05:25:00,52.708,0.859,403.603,2927.672
2024-03-03,05:30:00,66.356,0.861,564.698,4473.77
2024-03-03,05:35:00,66.781,0.919,900.179,3499.46
2024-03-03,05:40:00,67.581,0.965,507.934,2454.702
2024-03-03,05:45:00,58.625,0.959,568.701,3384.472
2024-03-03,05:50:00,48.492,0.966,322.269,983.441
2024-03-03,05:55:00,57.752,0.956,464.9,4428.002
2024-03-03,06:00:00,61.063,0.989,482.108,3659.878
2024-03-03,06:05:00,52.542,0.936,448.926,1675.644
2024-03-03,06:10:00,64.491,0.986,788.908,1620.965
2024-03-03,06:15:00,57.884,0.925,442.746,2324.124
2024-03-03,06:20:00,62.95,1.005,858.8,1074.439
2024-03-03,06:25:00,53.01,1.004,527.058,1272.395
2024-03-03,06:30:00,49.281,1.005,463.109,593.559
2024-03-03,06:35:00,54.762,0.882,387.588,3863.171
2024-03-03,06:40:00,56.736,0.984,595.94,3262.963
2024-03-03,06:45:00,74.714,0.932,1101.322,4207.491
2024-03-03,06:50:00,50.455,1.002,386.856,2299.193
2024-03-03,06:55:00,71.453,1.003,1120.082,2347.573
2024-03-03,07:00:00,44.728,0.969,288.711,2549.647
2024-03-03,07:05:00,56.257,0.926,628.817,3375.481
2024-03-03,07:10:00,60.482,0.905,676.968,3572.591
2024-03-03,07:15:00,67.943,0.942,778.881,2925.597
2024-03-03,07:20:00,60.069,1.003,708.131,2540.15
2024-03-03,07:25:00,58.033,0.939,659.796,2279.041
2024-03-03,07:30:00,50.355,0.827,428.842,2030.523
2024-03-03,07:35:00,45.026,0.939,308.187,2215.63
2024-03-03,07:40:00,56.111,0.923,513.405,3941.187
2024-03-03,07:45:00,46.142,1.002,256.672,2611.432
2024-03-03,07:50:00,43.402,0.989,325.645,3079.24
2024-03-03,07:55:00,39.213,1.006,286.432,800.07
2024-03-03,08:00:00,35.59,0.988,212.413,1074.574
2024-03-03,08:05:00,31.897,0.946,149.697,1191.344
2024-03-03,08:10:00,69.379,0.924,620.732,2195.933
2024-03-03,08:15:00,54.673,0.987,446.789,1880.614
2024-03-03,08:20:00,46.355,0.958,301.283,2458.116
2024-03-03,08:25:00,48.41,0.998,412.885,3793.084
2024-03-03,08:30:00,57.583,0.92,339.12,1445.904
2024-03-03,08:35:00,68.58,0.94,849.404,8349.44
2024-03-03,08:40:00,68.954,0.945,922.102,2305.561
2024-03-03,08:45:00,63.995,0.999,671.401,3039.889
2024-03-03,08:50:00,68.474,0.974,740.512,1918.868
2024-03-03,08:55:00,60.604,1.002,591.082,2578.988
2024-03-03,09:00:00,60.129,1.006,542.315,1568.417
2024-03-03,09:05:00,56.653,1.004,459.842,1713.134
2024-03-03,09:10:00,59.038,0.877,348.652,2716.473
2024-03-03,09:15:00,55.51,1.006,525.934,3126.057
2024-03-03,09:20:00,58.868,0.986,471.402,2734.956
2024-03-03,09:25:00,62.225,1.005,688.692,4083.814
2024-03-03,09:30:00,62.556,0.974,559.381,2337.439
2024-03-03,09:35:00,74.546,0.999,913.401,3437.235
2024-03-03,09:40:00,50.173,0.96,345.638,2109.492
2024-03-03,09:50:00,42.7,0.927,309.703,1444.064
2024-03-03,09:55:00,45.2,0.834,255.29,1193.435
2024-03-03,10:00:00,43.758,0.884,321.959,1724.749
2024-03-03,10:05:00,59.321,0.944,482.129,2750.216
2024-03-03,10:10:00,66.252,0.88,574.39,2837.307
2024-03-04,02:00:00,77.537,0.776,380.145,985.483
2024-03-04,02:05:00,80.789,0.975,1022.124,3035.454
2024-03-04,02:10:00,78.109,0.943,889.557,1616.045
2024-03-04,02:15:00,82.883,1.006,1065.13,949.19
2024-03-04,02:20:00,80.02,0.98,987.704,1435.989
2024-03-04,02:25:00,78.121,0.972,938.923,1176.285
2024-03-04,02:30:00,78.987,1.0,940.629,1148.464
2024-03-04,02:35:00,85.345,0.968,1223.106,2122.292
2024-03-04,02:40:00,79.888,1.003,998.905,1068.841
2024-03-04,02:45:00,88.08,0.901,1030.643,1469.939
2024-03-04,02:50:00,124.529,0.963,2120.207,5483.994
2024-03-04,02:55:00,92.403,0.966,1410.602,4567.565
2024-03-04,03:00:00,102.934,0.989,1344.852,5913.627
2024-03-04,03:05:00,111.76,0.972,1772.691,3432.346
2024-03-04,03:10:00,69.633,1.004,593.196,3192.975
2024-03-04,03:15:00,91.202,0.991,1583.21,5081.181
2024-03-04,03:20:00,80.108,0.994,1007.524,1888.893
2024-03-04,03:25:00,84.536,1.003,1181.006,1795.747
2024-03-04,03:30:00,78.029,1.003,987.91,1105.781
2024-03-04,03:35:00,75.067,0.996,1137.909,1184.327
2024-03-04,03:40:00,81.319,0.87,1070.331,2078.068
2024-03-04,03:45:00,71.379,0.988,826.27,2510.487
2024-03-04,03:50:00,68.507,0.995,757.879,783.879
2024-03-04,03:55:00,81.749,0.933,896.497,3218.254
2024-03-04,04:00:00,87.984,1.004,1311.785,1171.093
2024-03-04,04:05:00,88.165,1.003,1596.424,1062.638
2024-03-04,04:10:00,92.755,0.997,1369.383,2734.989
2024-03-04,04:15:00,91.817,0.724,825.87,3708.372
2024-03-04,04:20:00,61.707,1.004,357.884,3190.946
2024-03-04,04:25:00,78.047,0.906,995.41,9281.197
2024-03-04,04:30:00,94.27,0.888,1242.407,4875.216
2024-03-04,04:35:00,97.737,0.981,1509.289,3182.456
2024-03-04,04:40:00,100.828,0.807,1141.261,6933.294
2024-03-04,04:45:00,92.017,0.926,1210.405,1717.256
2024-03-04,04:50:00,106.731,0.82,1177.851,4715.658
2024-03-04,04:55:00,107.665,0.984,1678.374,1783.311
2024-03-04,05:00:00,104.497,0.828,1100.558,4917.351
2024-03-04,05:05:00,103.437,0.962,1771.811,3650.465
2024-03-04,05:10:00,93.212,0.977,1339.933,6358.404
2024-03-04,05:15:00,110.175,1.005,1949.258,3011.779
2024-03-04,05:20:00,102.076,1.004,1922.033,3603.855
2024-03-04,05:25:00,102.287,1.003,1557.813,1461.941
2024-03-04,05:30:00,103.466,0.884,1275.927,2170.076
2024-03-04,05:35:00,97.267,0.958,1131.298,2610.894
2024-03-04,05:40:00,96.402,1.005,1577.418,8806.496
2024-03-04,05:45:00,107.394,0.942,1460.516,3560.778
2024-03-04,05:50:00,114.169,0.941,1091.607,4131.071
2024-03-04,05:55:00,90.667,1.004,1403.415,3908.979
2024-03-04,06:00:00,74.085,0.852,850.602,4610.184
2024-03-04,06:05:00,121.123,0.924,1975.178,4242.076
2024-03-04,06:10:00,96.861,0.935,1199.481,5609.62
2024-03-04,06:15:00,110.072,1.001,2095.308,3108.989
2024-03-04,06:20:00,107.61,1.007,1781.827,3994.252
2024-03-04,06:25:00,105.74,1.001,1794.964,2573.917
2024-03-04,06:30:00,101.192,0.999,1378.824,2593.723
2024-03-04,06:35:00,108.965,0.844,1861.37,3804.302
2024-03-04,06:40:00,117.129,1.007,2212.759,4086.37
2024-03-04,06:45:00,91.377,0.887,1615.764,3136.87
2024-03-05,00:25:00,115.762,0.918,2204.434,5836.181
2024-03-05,00:30:00,111.55,1.008,2203.746,1558.034
2024-03-05,00:35:00,96.715,1.002,1784.611,1320.485
2024-03-05,00:40:00,101.098,1.003,1954.281,1336.35
2024-03-05,00:45:00,97.04,0.997,1767.539,525.135
2024-03-05,00:50:00,91.877,1.005,1431.417,539.805
2024-03-05,00:55:00,95.426,1.004,1840.188,771.276
2024-03-05,01:00:00,89.479,1.002,1688.576,560.219
2024-03-05,01:05:00,90.301,1.0,1698.163,419.083
2024-03-05,01:10:00,99.251,0.901,1384.63,4071.737
2024-03-05,01:15:00,88.973,0.987,1261.188,1152.972
2024-03-05,01:20:00,93.815,0.952,1256.664,6551.141
2024-03-05,01:25:00,100.881,0.98,1612.333,2223.001
2024-03-05,01:30:00,107.498,1.002,1627.617,1700.549
2024-03-05,01:35:00,102.404,1.003,1768.122,3934.139
2024-03-05,01:40:00,128.528,0.973,2215.874,3867.186
2024-03-05,01:45:00,120.831,0.955,2560.398,2000.821
2024-03-05,01:50:00,113.674,1.005,2031.175,2665.687
2024-03-05,01:55:00,115.395,0.96,1961.676,4926.795
