Date,Time,SPO2 Value,DateTime,Wellness Index
2024-02-17,02:51:33,96.7,2024-02-17 02:51:33,0.7692307692307694
2024-02-17,02:52:33,97.3,2024-02-17 02:52:33,0.8111888111888109
2024-02-17,02:53:33,97.7,2024-02-17 02:53:33,0.8391608391608393
2024-02-17,02:54:33,98.0,2024-02-17 02:54:33,0.8601398601398601
2024-02-17,02:55:33,98.1,2024-02-17 02:55:33,0.8671328671328667
2024-02-17,02:56:33,98.1,2024-02-17 02:56:33,0.8671328671328667
2024-02-17,02:57:33,98.1,2024-02-17 02:57:33,0.8671328671328667
2024-02-17,02:58:33,98.2,2024-02-17 02:58:33,0.8741258741258743
2024-02-17,02:59:33,98.4,2024-02-17 02:59:33,0.8881118881118885
2024-02-17,03:00:33,98.5,2024-02-17 03:00:33,0.8951048951048951
2024-02-17,03:01:33,98.5,2024-02-17 03:01:33,0.8951048951048951
2024-02-17,03:02:33,98.7,2024-02-17 03:02:33,0.9090909090909093
2024-02-17,03:03:33,98.6,2024-02-17 03:03:33,0.9020979020979016
2024-02-17,03:04:33,98.6,2024-02-17 03:04:33,0.9020979020979016
2024-02-17,03:46:33,91.7,2024-02-17 03:46:33,0.41958041958041964
2024-02-17,03:47:33,92.4,2024-02-17 03:47:33,0.4685314685314688
2024-02-17,03:49:33,92.1,2024-02-17 03:49:33,0.44755244755244705
2024-02-17,03:51:33,93.0,2024-02-17 03:51:33,0.5104895104895104
2024-02-17,03:52:33,93.7,2024-02-17 03:52:33,0.5594405594405596
2024-02-17,03:53:33,93.8,2024-02-17 03:53:33,0.5664335664335661
2024-02-17,03:54:33,93.1,2024-02-17 03:54:33,0.517482517482517
2024-02-17,03:55:33,92.9,2024-02-17 03:55:33,0.5034965034965038
2024-02-17,03:56:33,92.9,2024-02-17 03:56:33,0.5034965034965038
2024-02-17,03:57:33,92.4,2024-02-17 03:57:33,0.4685314685314688
2024-02-17,03:58:33,93.3,2024-02-17 03:58:33,0.5314685314685311
2024-02-17,03:59:33,93.1,2024-02-17 03:59:33,0.517482517482517
2024-02-17,04:00:33,94.3,2024-02-17 04:00:33,0.6013986013986011
2024-02-17,04:01:33,94.2,2024-02-17 04:01:33,0.5944055944055945
2024-02-17,04:02:33,94.2,2024-02-17 04:02:33,0.5944055944055945
